autor,inclinacao_0,inclinacao_1,inclinacao_2,inclinacao_3,inclinacao_4,inclinacao_5,inclinacao_6,inclinacao_7,inclinacao_8,inclinacao_9,inclinacao_10,inclinacao_11,inclinacao_12,inclinacao_13,inclinacao_14,inclinacao_15,inclinacao_16
a001,1.0,0.1404399323181049,0.0,0.02030456852791878,0.05922165820642978,0.001692047377326565,0.0,0.1404399323181049,0.39593908629441626,0.26903553299492383,0.15228426395939088,0.1319796954314721,0.10998307952622674,0.23181049069373943,0.3756345177664975,0.10998307952622674,0.9763113367174281
a001,0.6287015945330297,0.6412300683371298,0.35990888382687924,0.20501138952164008,0.0,0.13439635535307518,0.35990888382687924,0.6412300683371298,1.0,0.7425968109339408,0.4544419134396355,0.2528473804100228,0.05353075170842825,0.1662870159453303,0.31548974943052394,0.05353075170842825,0.6457858769931663
a001,0.3367461206207007,0.5779875219964805,0.285394336906095,0.12494000959846424,0.0,0.0836666133418653,0.285394336906095,0.5779875219964805,1.0,0.9051351783714605,0.7070868661014238,0.5167173252279635,0.3028315469524876,0.2359622460406335,0.2087665973444249,0.3028315469524876,0.3255479123340266
a001,0.29331238779174146,0.658213644524237,0.3364003590664273,0.15080789946140036,0.0,0.09717235188509875,0.3364003590664273,0.658213644524237,1.0,0.6950179533213644,0.40596947935368044,0.25830341113105926,0.1481149012567325,0.17078096947935367,0.20646319569120286,0.1481149012567325,0.2989228007181329
a001,0.2563943894389439,0.6283003300330033,0.29496699669966997,0.11757425742574257,0.0,0.06848184818481848,0.29496699669966997,0.6283003300330033,1.0,0.7085396039603961,0.411509900990099,0.2698019801980198,0.17306105610561057,0.20482673267326731,0.2268976897689769,0.17306105610561057,0.2576320132013201
a001,0.6078990228013029,0.6453583061889251,0.3269543973941368,0.20521172638436483,0.08387622149837133,0.14169381107491857,0.3269543973941368,0.6453583061889251,1.0,0.6107491856677525,0.2740228013029316,0.10586319218241043,0.0,0.11359934853420195,0.247557003257329,0.0,0.6009771986970684
a002,1.0,0.17329585382993676,0.060997891777933945,0.03330990864371047,0.03443429374560787,0.024595924104005622,0.060997891777933945,0.17329585382993676,0.3531974701335207,0.2684469430780042,0.16008432888264232,0.07870695713281799,0.0,0.05804638088545327,0.2101194659170766,0.0,0.9932536893886156
a002,1.0,0.15046244078502144,0.05301150462440785,0.012858109632303182,0.0,0.004060455673358899,0.05301150462440785,0.15046244078502144,0.3273178434468757,0.29415745544777805,0.2397924655989172,0.19309722535528986,0.13715316941123393,0.18091585833521318,0.31130160162418224,0.13715316941123393,0.9837581773065645
a002,1.0,0.12868809272918863,0.0458377239199157,0.010273972602739725,0.0,0.003819810326659642,0.0458377239199157,0.12868809272918863,0.2689673340358272,0.21404109589041095,0.15924657534246575,0.13659114857744994,0.12710748155953636,0.23011064278187565,0.4117492096944152,0.12710748155953636,0.9901211801896733
a002,0.9148485835232824,0.3476066427873657,0.17486160859654837,0.07000976880494952,0.0,0.058938456528817976,0.17486160859654837,0.3476066427873657,0.651904916965158,0.7872028655161185,0.8744708563985673,0.9338977531748616,0.9286877238684468,0.9881146206447411,1.0,0.9286877238684468,0.9148485835232824
a002,1.0,0.32435530085959885,0.21318051575931232,0.15616045845272206,0.10343839541547278,0.1154727793696275,0.21318051575931232,0.32435530085959885,0.4667621776504298,0.2810888252148997,0.13696275071633238,0.05673352435530086,0.0,0.08796561604584527,0.266189111747851,0.0,0.997134670487106
a002,1.0,0.37537537537537535,0.14514514514514515,0.02702702702702703,0.0,0.01701701701701702,0.14514514514514515,0.37537537537537535,0.7717717717717718,0.8203203203203203,0.7622622622622622,0.6671671671671672,0.5420420420420421,0.5555555555555556,0.5865865865865866,0.5420420420420421,0.9914914914914915
a003,0.5469820554649266,0.5106035889070146,0.21778140293637846,0.08809135399673736,0.0,0.06704730831973899,0.21778140293637846,0.5106035889070146,1.0,0.9934747145187602,0.8471451876019576,0.6787928221859706,0.48172920065252856,0.4401305057096248,0.41892332789559544,0.48172920065252856,0.5492659053833605
a003,0.30312124849939975,0.581032412965186,0.28691476590636256,0.11404561824729892,0.0,0.08463385354141657,0.28691476590636256,0.581032412965186,1.0,0.9069627851140456,0.7190876350540216,0.5582232893157263,0.4009603841536615,0.3607442977190876,0.31932773109243695,0.4009603841536615,0.2995198079231693
