@RELATION inclinacao_axial

@ATTRIBUTE angulo_1 NUMERIC
@ATTRIBUTE angulo_2 NUMERIC
@ATTRIBUTE angulo_3 NUMERIC
@ATTRIBUTE angulo_4 NUMERIC
@ATTRIBUTE angulo_5 NUMERIC
@ATTRIBUTE angulo_6 NUMERIC
@ATTRIBUTE angulo_7 NUMERIC
@ATTRIBUTE angulo_8 NUMERIC
@ATTRIBUTE angulo_9 NUMERIC
@ATTRIBUTE angulo_10 NUMERIC
@ATTRIBUTE angulo_11 NUMERIC
@ATTRIBUTE angulo_12 NUMERIC
@ATTRIBUTE angulo_13 NUMERIC
@ATTRIBUTE angulo_14 NUMERIC
@ATTRIBUTE angulo_15 NUMERIC
@ATTRIBUTE angulo_16 NUMERIC
@ATTRIBUTE angulo_17 NUMERIC

@ATTRIBUTE classe {a1,a2,a3,a4,a5,a6,a7,a8,a9,a10}

@DATA
0.08828709819462792,0.05636283575517393,0.036988110964332896,0.02267723469837076,0.015191545574636724,0.01915455746367239,0.03368560105680317,0.058784676354029064,0.11822985468956407,0.07992073976221929,0.06869220607661823,0.04953764861294584,0.059885512989872304,0.05570233377366799,0.06869220607661823,0.07992073976221929,0.08828709819462792,a1
0.062070425912980474,0.05310517963659372,0.04757397476260212,0.04549211905357207,0.045066052995474004,0.05619224508748386,0.0668974737089178,0.07570198847835738,0.08167201587925237,0.0715357257665362,0.06055750871266819,0.04832405512835559,0.04140494644834396,0.0502426280366774,0.06055750871266819,0.0715357257665362,0.062070425912980474,a2
0.035259496478378,0.03182983695593374,0.03339860866178364,0.03767215917082301,0.046868407101667224,0.07353752610111546,0.10126691839141395,0.12436572937065207,0.1364074046024516,0.08580640275238291,0.0497787490938991,0.02582522801285311,0.01848986789860325,0.02864901708338292,0.0497787490938991,0.08580640275238291,0.035259496478378,a3
0.07976018820672384,0.08118312210670107,0.07583289064278667,0.06898383547089626,0.060465204523032556,0.06534112468695454,0.07264551870683768,0.07755938377475904,0.08146770888669652,0.055930788495105105,0.03720497837140472,0.024910829475601425,0.019579570463686725,0.026238901115580176,0.03720497837140472,0.055930788495105105,0.07976018820672384,a4
0.03474663908996898,0.027094105480868665,0.021096173733195448,0.01861427094105481,0.017580144777662874,0.03474663908996898,0.06277145811789038,0.09896587383660807,0.1421923474663909,0.11509824198552224,0.07931747673216133,0.04436401240951396,0.026473629782833505,0.04777662874870734,0.07931747673216133,0.11509824198552224,0.03474663908996898,a5
0.06798994521947263, 0.06310276105875637, 0.05926712267032538, 0.056232662013159344, 0.05408951158202558, 0.06365357074900103, 0.07206593692728311, 0.07924649234374531, 0.0863369152654402, 0.06286240773937689, 0.04737964808268154, 0.03656374871060459, 0.03406006830040159, 0.03891720829619541, 0.04737964808268154, 0.06286240773937689, 0.06798994521947263,a6
0.0444022770398482, 0.03415559772296015, 0.022390891840607212, 0.01631878557874763, 0.00872865275142315, 0.017836812144212524, 0.030740037950664136, 0.056546489563567365, 0.16242884250474382, 0.13244781783681214, 0.0888045540796964, 0.038330170777988615, 0.03225806451612903, 0.048956356736242886, 0.0888045540796964, 0.13244781783681214, 0.0444022770398482,a7
0.035909413187638156, 0.06785669600033366, 0.10133878300037535, 0.13138424323309839, 0.15823497518455187, 0.14880093422863577, 0.1220085915669183, 0.08824289944530175, 0.04789590023772782, 0.01858447679025733, 0.0076239729741001796, 0.0038286691412603743, 0.0022688409725987405, 0.0039037410852066565, 0.0076239729741001796, 0.01858447679025733, 0.035909413187638156,a8
0.09146608315098469, 0.06225382932166302, 0.04633479212253829, 0.038347921225382935, 0.038566739606126915, 0.05705689277899344, 0.07396061269146609, 0.08539387308533918, 0.09195842450765865, 0.06356673960612691, 0.04726477024070022, 0.034080962800875275, 0.03145514223194748, 0.03599562363238512, 0.04726477024070022, 0.06356673960612691, 0.09146608315098469,a9
0.042161673553719005, 0.05152376033057851, 0.060928891184573, 0.07048467630853994, 0.08083677685950413, 0.10147641184573003, 0.1128400482093664, 0.11314135674931129, 0.09852789256198347, 0.056602961432506885, 0.0318741391184573, 0.01756198347107438, 0.012224517906336088, 0.019176136363636364, 0.0318741391184573, 0.056602961432506885, 0.042161673553719005,a10
